,E_SNAP25_120812_CTRL2.3_14_crop_seg_id,E_SNAP25_120812_CTRL2.3_14_crop_distance,C_SNAP25_12082_CTRL2.3_5_crop_seg_id,C_SNAP25_12082_CTRL2.3_5_crop_distance,D_SNAP25_12082_CTRL2.3_5_crop_seg_id,D_SNAP25_12082_CTRL2.3_5_crop_distance,B_SNAP25_120812_CTRL1.4_4_crop_seg_id,B_SNAP25_120812_CTRL1.4_4_crop_distance,B_SNAP25_120812_CTRL1.3_13_crop_seg_id,B_SNAP25_120812_CTRL1.3_13_crop_distance
0,31.0,0.0,1.0,0.0,3.0,0.0,4,0.0,20.0,1.554
1,38.0,0.0,4.0,0.0,65.0,1.554,12,0.0,11.0,2.19768787592779
2,4.0,32.3366452805482,14.0,0.0,42.0,3.108,18,0.0,19.0,2.19768787592779
3,11.0,38.91211035140603,16.0,0.0,67.0,3.4748496370346733,23,0.0,5.0,4.662000000000001
4,20.0,60.62591980333164,18.0,0.0,66.0,5.154034924212291,34,0.0,4.0,4.914179483901662
5,33.0,63.7329484019059,2.0,1.554,9.0,32.14940198510697,67,0.0,3.0,5.154034924212291
6,34.0,69.4274609646644,6.0,18.648000000000003,33.0,50.13908212163442,83,0.0,2.0,5.814535579046705
7,6.0,71.77057773210413,12.0,22.679883333033263,64.0,50.73756454541349,92,2.19768787592779,1.0,6.407306142209845
8,18.0,77.8397343520647,22.0,41.29080643436261,26.0,53.47205385993696,27,23.5162872069551,27.0,14.411203142000323
9,40.0,92.11956808409384,21.0,53.13225765954238,6.0,81.43315870086337,89,39.558381766700215,15.0,45.519203947345126
10,22.0,98.38182417499688,8.0,61.965445532167365,68.0,91.4750454495651,1,48.24913495597615,21.0,47.46700567762833
11,25.0,100.48265420459394,23.0,63.6191733363457,12.0,92.38134629891468,62,49.97022257304844,6.0,55.29270888643457
12,24.0,102.3518715412669,3.0,66.09525734876898,62.0,93.04554723359952,20,52.23844446382377,12.0,57.35081160716037
13,9.0,110.07103875225307,13.0,68.05739407294405,38.0,94.57721112403348,88,56.073350461694375,29.0,58.57982277200914
14,35.0,112.16823240115714,9.0,86.38339215381623,63.0,105.43177105597724,49,58.53858389131053,25.0,60.92393529640054
15,26.0,121.83796063624835,15.0,87.54966238655635,5.0,112.27582785265938,9,63.10464708719953,13.0,68.53474753728943
16,5.0,128.01413975026352,5.0,96.36053144311732,34.0,113.86695747230624,14,67.2542762060525,22.0,81.92100807485221
17,39.0,129.32790965603675,20.0,102.86963551991424,11.0,113.90936602404564,32,69.25332610062856,10.0,94.51335505630936
18,29.0,134.44570004280538,7.0,106.3667309829535,2.0,116.73633105421808,93,72.25682245988956,14.0,95.66886452759853
19,32.0,138.3409169407229,27.0,115.10095210726972,32.0,125.9123645239021,69,84.46100795041463,26.0,100.09738500080809
20,21.0,140.69494110308304,11.0,115.4779899028382,10.0,133.39983509734938,77,85.73799801721522,43.0,105.34011116379173
21,23.0,149.41853439249095,19.0,115.96838881350384,61.0,137.68475078962086,73,93.89812732956926,30.0,105.37449296675169
22,2.0,157.3305088023299,29.0,126.5246148541856,29.0,143.28014836675737,47,103.5131986366956,64.0,107.59696698327514
23,8.0,168.60004814945933,24.0,128.86961368763392,36.0,145.81953017343045,24,105.672,16.0,115.32104063006022
24,10.0,170.98237656553962,10.0,145.33015976045715,17.0,149.0139343148821,71,106.13945138354542,8.0,116.14525722559661
25,17.0,180.02940769774253,17.0,156.99246063426105,7.0,158.3631985658284,21,125.25856957509934,45.0,125.48970968171056
26,30.0,180.97262442701103,33.0,157.66017375355136,1.0,160.49141427503218,41,130.66543582753627,23.0,125.61473298940695
27,15.0,191.72228987783348,25.0,161.2045628262426,28.0,167.32763102368958,66,130.88702802035044,9.0,136.4160646551571
28,27.0,195.1739864428659,34.0,163.05896221919235,8.0,168.88627201759178,19,138.17498288764142,34.0,137.83375556082044
29,,,35.0,172.86460188251382,18.0,169.69224609274283,85,142.6297738342174,55.0,141.65287517025556
30,,,28.0,199.57256722305297,48.0,178.50042494067068,37,142.7905311566562,28.0,148.80310750787433
31,,,,,45.0,184.43564399540563,63,147.65453480337135,17.0,150.30482088076883
32,,,,,22.0,186.92624107920216,22,147.95679619402418,24.0,153.9401530075893
33,,,,,20.0,187.96335036384087,2,151.696191659514,51.0,158.06555898107595
34,,,,,41.0,191.84820759131424,17,151.89505411302898,69.0,158.60699849628324
35,,,,,51.0,192.7649150960828,16,153.1695431213399,54.0,161.33933049321857
36,,,,,15.0,195.84716190948487,65,161.23452093146804,33.0,162.8514891304344
37,,,,,,,90,162.05619858555244,56.0,175.78068784710112
38,,,,,,,13,163.2883570742262,32.0,186.6482740772065
39,,,,,,,38,172.6269487652493,18.0,188.16238592237292
40,,,,,,,84,173.36679190663938,40.0,190.50924535045536
41,,,,,,,46,173.8119649506328,7.0,196.1305610148505
42,,,,,,,29,176.54151323697212,44.0,196.16134059492967
43,,,,,,,15,177.71401590195413,35.0,196.63473771437233
44,,,,,,,26,178.62890333873742,,
45,,,,,,,72,179.17559349420333,,
46,,,,,,,45,181.73829021975527,,
47,,,,,,,30,184.46182922219975,,
48,,,,,,,75,186.38284969384927,,
49,,,,,,,87,187.73194747831283,,
50,,,,,,,5,187.92480300375468,,
51,,,,,,,28,192.04950421180476,,
52,,,,,,,64,192.558095815263,,
53,,,,,,,51,193.1528857770445,,
54,,,,,,,7,198.182223784072,,
55,,,,,,,31,198.79663060524945,,
