,A_M13DKO_080212_DKO1.2_crop_seg_id,A_M13DKO_080212_DKO1.2_crop_distance,G_M13DKO_060212_DKO1.1_crop_seg_id,G_M13DKO_060212_DKO1.1_crop_distance,C_M13DKO_080212_DKO1.2_crop_seg_id,C_M13DKO_080212_DKO1.2_crop_distance,E_M13DKO_080212_DKO1.2_crop_seg_id,E_M13DKO_080212_DKO1.2_crop_distance,H_M13DKO_080212_DKO1.2_crop_seg_id,H_M13DKO_080212_DKO1.2_crop_distance
0,49.0,8.511608543630283,1.0,58.57982277200914,15,8.368546110287019,1.0,14.660406679215964,8.0,6.216
1,6.0,9.061299244589597,2.0,86.71821275833584,62,9.828358967803323,48.0,14.660406679215964,19.0,7.121322629961376
2,43.0,10.19025946676531,6.0,88.16810423276662,6,17.65004713874725,47.0,20.14214209065163,24.0,8.368546110287019
3,7.0,13.186127255566738,7.0,98.52899228145998,28,22.57315387800296,2.0,24.57089741950831,7.0,11.419521180855176
4,10.0,15.38381513149453,4.0,135.13546829755688,34,30.885139144902684,3.0,27.13944325147441,31.0,63.78975983651295
5,5.0,15.847752648246376,8.0,146.05946714951415,18,41.26155329116926,4.0,31.46610176046597,28.0,78.41158164455044
6,47.0,27.842198835580497,3.0,156.99246063426102,14,47.543257944739125,24.0,35.742000000000004,14.0,82.08298020905431
7,50.0,31.31223237011376,5.0,175.51946733054996,50,49.16635959678121,45.0,41.26155329116925,13.0,93.48572620459232
8,18.0,46.98120075093867,9.0,180.99263946359807,39,59.15414849357567,44.0,52.261553708247135,4.0,113.0047601121298
9,28.0,70.73687830262232,10.0,190.9144499193291,5,75.63686934293354,39.0,53.607369269532334,10.0,122.64791789508699
10,2.0,73.71269225852492,,,61,76.73047118322681,49.0,68.51712708513107,3.0,127.74976449293362
11,9.0,77.73107378648515,,,31,76.90337628479,46.0,71.6527139472051,1.0,128.95391260446502
12,35.0,79.42141142034684,,,37,83.90160987728423,13.0,72.92218477253682,18.0,156.39911816886948
13,44.0,81.31445140932823,,,29,85.6534576535005,77.0,82.00939616897567,26.0,169.4430179263814
14,36.0,90.1989578875499,,,33,86.73213556692814,28.0,84.84612304637143,12.0,173.3040977357431
15,25.0,95.02300207844416,,,11,86.746056140899,50.0,85.3569069964464,15.0,176.50731235844026
16,17.0,106.9779740133454,,,3,93.69215367361346,72.0,87.57724142721099,5.0,178.7032433505335
17,48.0,107.5857443530508,,,41,93.92384227660196,21.0,106.6388270940749,27.0,178.89908258009598
18,1.0,109.1124918604648,,,55,97.76623920352056,35.0,108.4019430453163,30.0,192.01806552509584
19,4.0,116.51891585489456,,,43,99.31020563869556,73.0,109.77445440538524,29.0,193.80816149997398
20,8.0,118.14488765917888,,,10,101.29648603974375,10.0,116.55,,
21,3.0,131.89789560110503,,,24,107.1696808617064,9.0,122.60853192172232,,
22,32.0,131.89789560110503,,,17,110.20259780967054,30.0,135.7061141437629,,
23,24.0,134.55342898640674,,,13,113.0047601121298,64.0,139.92042028238768,,
24,37.0,139.59211010655295,,,7,116.85005376121998,15.0,144.00306834231,,
25,41.0,140.95216895103104,,,53,121.54028620996417,74.0,149.5477752291889,,
26,46.0,141.58466624603102,,,36,123.3547150132495,62.0,150.03143682575327,,
27,39.0,145.18884862137313,,,32,134.27495245204892,32.0,150.48947553898913,,
28,16.0,172.8855555909747,,,2,138.48049666288753,58.0,151.15396215779458,,
29,34.0,179.00704009619287,,,30,139.60075974005298,78.0,157.6295363312346,,
30,22.0,180.6988634053906,,,42,143.26329287015568,42.0,163.43618288494136,,
31,26.0,180.97262442701103,,,9,146.6123027443468,17.0,164.78995849262176,,
32,30.0,186.79700555415764,,,44,147.63,54.0,173.67992329569933,,
33,40.0,195.0749761707021,,,16,148.77876211341456,27.0,181.5322112904484,,
34,,,,,26,150.34498249027138,23.0,187.5388936300948,,
35,,,,,47,160.7019343505236,34.0,189.2118645857072,,
36,,,,,19,167.1976902232803,33.0,192.47656053660145,,
37,,,,,21,174.95445207253232,,,,
38,,,,,20,186.5512114031962,,,,
39,,,,,46,189.8553033654841,,,,
40,,,,,12,195.0440251532972,,,,
